,ZIPCODE,CLASS,VIO_TYPE,Count,Tot,freq,zipfreq,overprev
0,10307,K,CONSTRUCTION,2,2,100,25,75
1,10307,S,BOILER,6,6,100,75,25
2,11207,S,BOILER,16,16,100,100,0
3,11208,C,FAIL TO CERTIFY,1,1,100,20.96774194,79.03225806
4,11208,K,FAIL TO CERTIFY,9,27,33.33333333,20.96774194,12.3655914
5,11208,S,FAIL TO CERTIFY,3,34,8.823529412,20.96774194,-12.14421252
6,11208,K,BOILER,18,27,66.66666667,79.03225806,-12.3655914
7,11208,S,BOILER,31,34,91.17647059,79.03225806,12.14421252
10,10001,C,FAIL TO CERTIFY,21,33,63.63636364,5.859590934,57.7767727
11,10001,D,FAIL TO CERTIFY,16,262,6.106870229,5.859590934,0.247279295
12,10001,H,FAIL TO CERTIFY,13,498,2.610441767,5.859590934,-3.249149167
13,10001,K,FAIL TO CERTIFY,68,611,11.12929624,5.859590934,5.269705301
14,10001,O,FAIL TO CERTIFY,51,1457,3.500343171,5.859590934,-2.359247763
15,10001,R,FAIL TO CERTIFY,33,297,11.11111111,5.859590934,5.251520177
16,10001,S,FAIL TO CERTIFY,10,14,71.42857143,5.859590934,65.56898049
17,10001,C,BOILER,12,33,36.36363636,7.960199005,28.40343736
18,10001,D,BOILER,30,262,11.45038168,7.960199005,3.490182674
19,10001,H,BOILER,57,498,11.44578313,7.960199005,3.485584128
20,10001,K,BOILER,93,611,15.22094926,7.960199005,7.260750259
21,10001,L,BOILER,24,260,9.230769231,7.960199005,1.270570226
22,10001,O,BOILER,58,1457,3.98078243,7.960199005,-3.979416575
23,10001,P,BOILER,6,18,33.33333333,7.960199005,25.37313433
24,10001,R,BOILER,8,297,2.693602694,7.960199005,-5.266596311
25,10001,D,ELEVATOR,204,262,77.86259542,75.64953013,2.213065293
26,10001,H,ELEVATOR,307,498,61.64658635,75.64953013,-14.00294378
27,10001,K,ELEVATOR,408,611,66.77577741,75.64953013,-8.873752713
28,10001,L,ELEVATOR,201,260,77.30769231,75.64953013,1.658162181
29,10001,O,ELEVATOR,1218,1457,83.59643102,75.64953013,7.946900896
30,10001,R,ELEVATOR,231,297,77.77777778,75.64953013,2.128247651
31,10001,U,ELEVATOR,168,168,100,75.64953013,24.35046987
32,10001,D,FAIL TO BENCHMARK,8,262,3.053435115,3.565505804,-0.51207069
33,10001,H,FAIL TO BENCHMARK,48,498,9.638554217,3.565505804,6.073048413
34,10001,K,FAIL TO BENCHMARK,20,611,3.273322422,3.565505804,-0.292183382
35,10001,L,FAIL TO BENCHMARK,6,260,2.307692308,3.565505804,-1.257813497
36,10001,O,FAIL TO BENCHMARK,31,1457,2.127659574,3.565505804,-1.43784623
37,10001,P,FAIL TO BENCHMARK,12,18,66.66666667,3.565505804,63.10116086
38,10001,R,FAIL TO BENCHMARK,4,297,1.346801347,3.565505804,-2.218704458
39,10001,D,FACADE,4,262,1.526717557,2.902155887,-1.37543833
40,10001,H,FACADE,37,498,7.429718876,2.902155887,4.527562988
41,10001,L,FACADE,19,260,7.307692308,2.902155887,4.40553642
42,10001,O,FACADE,32,1457,2.196293754,2.902155887,-0.705862133
43,10001,R,FACADE,13,297,4.377104377,2.902155887,1.47494849
44,10001,H,CONSTRUCTION,18,498,3.614457831,1.990049751,1.62440808
45,10001,K,CONSTRUCTION,15,611,2.454991817,1.990049751,0.464942065
46,10001,L,CONSTRUCTION,4,260,1.538461538,1.990049751,-0.451588213
47,10001,O,CONSTRUCTION,23,1457,1.578586136,1.990049751,-0.411463615
48,10001,R,CONSTRUCTION,8,297,2.693602694,1.990049751,0.703552942
49,10001,S,CONSTRUCTION,4,14,28.57142857,1.990049751,26.58137882
50,10001,H,LANDMARK,12,498,2.409638554,0.995024876,1.414613679
51,10001,L,LANDMARK,6,260,2.307692308,0.995024876,1.312667432
52,10001,O,LANDMARK,18,1457,1.235415237,0.995024876,0.240390361
53,10001,H,FAILURE TO SUBMIT EER,6,498,1.204819277,0.386954118,0.817865159
54,10001,K,FAILURE TO SUBMIT EER,4,611,0.654664484,0.386954118,0.267710366
55,10001,O,FAILURE TO SUBMIT EER,4,1457,0.274536719,0.386954118,-0.112417399
56,10001,K,ZONING,3,611,0.490998363,0.08291874,0.408079624
57,10001,O,PLUMBING,22,1457,1.509951956,0.608070757,0.901881199
58,10002,C,BOILER,357,528,67.61363636,40.52173913,27.09189723
59,10002,D,BOILER,10,52,19.23076923,40.52173913,-21.2909699
60,10002,H,BOILER,17,71,23.94366197,40.52173913,-16.57807716
61,10002,K,BOILER,29,213,13.61502347,40.52173913,-26.90671566
62,10002,L,BOILER,14,53,26.41509434,40.52173913,-14.10664479
63,10002,O,BOILER,4,35,11.42857143,40.52173913,-29.0931677
64,10002,R,BOILER,24,175,13.71428571,40.52173913,-26.80745342
65,10002,S,BOILER,11,17,64.70588235,40.52173913,24.18414322
66,10002,C,FAIL TO CERTIFY,101,528,19.12878788,15.65217391,3.476613966
67,10002,D,FAIL TO CERTIFY,5,52,9.615384615,15.65217391,-6.036789298
68,10002,H,FAIL TO CERTIFY,3,71,4.225352113,15.65217391,-11.4268218
69,10002,K,FAIL TO CERTIFY,21,213,9.85915493,15.65217391,-5.793018983
70,10002,L,FAIL TO CERTIFY,14,53,26.41509434,15.65217391,10.76292043
71,10002,O,FAIL TO CERTIFY,5,35,14.28571429,15.65217391,-1.366459627
72,10002,R,FAIL TO CERTIFY,28,175,16,15.65217391,0.347826087
73,10002,S,FAIL TO CERTIFY,3,17,17.64705882,15.65217391,1.99488491
74,10002,C,ELEVATOR,43,528,8.143939394,34.34782609,-26.20388669
75,10002,D,ELEVATOR,24,52,46.15384615,34.34782609,11.80602007
76,10002,H,ELEVATOR,44,71,61.97183099,34.34782609,27.6240049
77,10002,K,ELEVATOR,128,213,60.09389671,34.34782609,25.74607063
78,10002,L,ELEVATOR,22,53,41.50943396,34.34782609,7.161607875
79,10002,O,ELEVATOR,26,35,74.28571429,34.34782609,39.9378882
80,10002,P,ELEVATOR,6,6,100,34.34782609,65.65217391
81,10002,R,ELEVATOR,102,175,58.28571429,34.34782609,23.9378882
82,10002,C,CONSTRUCTION,24,528,4.545454545,5.304347826,-0.758893281
83,10002,K,CONSTRUCTION,22,213,10.3286385,5.304347826,5.024290672
84,10002,R,CONSTRUCTION,12,175,6.857142857,5.304347826,1.552795031
85,10002,S,CONSTRUCTION,3,17,17.64705882,5.304347826,12.342711
86,10002,C,FACADE,3,528,0.568181818,1.826086957,-1.257905138
87,10002,D,FACADE,9,52,17.30769231,1.826086957,15.48160535
88,10002,H,FACADE,3,71,4.225352113,1.826086957,2.399265156
89,10002,L,FACADE,3,53,5.660377358,1.826086957,3.834290402
90,10002,R,FACADE,3,175,1.714285714,1.826086957,-0.111801242
91,10002,D,PLUMBING,4,52,7.692307692,0.782608696,6.909698997
92,10002,K,PLUMBING,5,213,2.34741784,0.782608696,1.564809145
93,10002,H,FAIL TO BENCHMARK,4,71,5.633802817,0.869565217,4.7642376
94,10002,R,FAIL TO BENCHMARK,6,175,3.428571429,0.869565217,2.559006211
95,10002,K,LANDMARK,8,213,3.755868545,0.695652174,3.060216371
96,10003,C,BOILER,142,285,49.8245614,17.10344828,32.72111313
97,10003,D,BOILER,42,447,9.395973154,17.10344828,-7.707475122
98,10003,H,BOILER,21,211,9.952606635,17.10344828,-7.150841641
99,10003,J,BOILER,13,40,32.5,17.10344828,15.39655172
100,10003,K,BOILER,40,151,26.49006623,17.10344828,9.386617949
101,10003,L,BOILER,4,22,18.18181818,17.10344828,1.078369906
102,10003,O,BOILER,26,458,5.676855895,17.10344828,-11.42659238
103,10003,R,BOILER,25,223,11.21076233,17.10344828,-5.892685944
104,10003,S,BOILER,59,115,51.30434783,17.10344828,34.20089955
105,10003,C,FAIL TO CERTIFY,104,285,36.49122807,9.793103448,26.69812462
106,10003,D,FAIL TO CERTIFY,36,447,8.053691275,9.793103448,-1.739412173
107,10003,K,FAIL TO CERTIFY,33,151,21.85430464,9.793103448,12.06120119
108,10003,L,FAIL TO CERTIFY,14,22,63.63636364,9.793103448,53.84326019
109,10003,O,FAIL TO CERTIFY,9,458,1.965065502,9.793103448,-7.828037946
110,10003,R,FAIL TO CERTIFY,3,223,1.34529148,9.793103448,-8.447811968
111,10003,S,FAIL TO CERTIFY,14,115,12.17391304,9.793103448,2.380809595
112,10003,C,ELEVATOR,21,285,7.368421053,64.87356322,-57.50514217
113,10003,D,ELEVATOR,303,447,67.7852349,64.87356322,2.911671681
114,10003,H,ELEVATOR,175,211,82.93838863,64.87356322,18.06482541
115,10003,J,ELEVATOR,27,40,67.5,64.87356322,2.626436782
116,10003,K,ELEVATOR,74,151,49.00662252,64.87356322,-15.8669407
117,10003,L,ELEVATOR,4,22,18.18181818,64.87356322,-46.69174504
118,10003,O,ELEVATOR,377,458,82.31441048,64.87356322,17.44084726
119,10003,P,ELEVATOR,30,30,100,64.87356322,35.12643678
120,10003,R,ELEVATOR,177,223,79.37219731,64.87356322,14.49863409
121,10003,S,ELEVATOR,30,115,26.08695652,64.87356322,-38.7866067
122,10003,U,ELEVATOR,96,96,100,64.87356322,35.12643678
123,10003,W,ELEVATOR,97,97,100,64.87356322,35.12643678
124,10003,C,CONSTRUCTION,9,285,3.157894737,1.011494253,2.146400484
125,10003,D,CONSTRUCTION,10,447,2.237136465,1.011494253,1.225642212
126,10003,S,CONSTRUCTION,3,115,2.608695652,1.011494253,1.597201399
127,10003,C,LANDMARK,6,285,2.105263158,1.517241379,0.588021779
128,10003,H,LANDMARK,9,211,4.265402844,1.517241379,2.748161464
129,10003,O,LANDMARK,18,458,3.930131004,1.517241379,2.412889625
130,10003,C,FACADE,3,285,1.052631579,3.172413793,-2.119782214
131,10003,D,FACADE,35,447,7.829977629,3.172413793,4.657563836
132,10003,K,FACADE,4,151,2.649006623,3.172413793,-0.523407171
133,10003,O,FACADE,6,458,1.310043668,3.172413793,-1.862370125
134,10003,R,FACADE,15,223,6.726457399,3.172413793,3.554043606
135,10003,S,FACADE,6,115,5.217391304,3.172413793,2.044977511
136,10003,D,FAILURE TO SUBMIT EER,12,447,2.684563758,0.735632184,1.948931574
137,10003,H,FAILURE TO SUBMIT EER,3,211,1.421800948,0.735632184,0.686168764
138,10003,O,FAILURE TO SUBMIT EER,1,458,0.218340611,0.735632184,-0.517291573
139,10003,D,FAIL TO BENCHMARK,9,447,2.013422819,1.655172414,0.358250405
140,10003,H,FAIL TO BENCHMARK,3,211,1.421800948,1.655172414,-0.233371466
141,10003,O,FAIL TO BENCHMARK,21,458,4.585152838,1.655172414,2.929980425
142,10003,R,FAIL TO BENCHMARK,3,223,1.34529148,1.655172414,-0.309880934
143,10003,S,PLUMBING,3,115,2.608695652,0.137931034,2.470764618
144,10004,D,ELEVATOR,33,40,82.5,88.94601542,-6.446015424
145,10004,G,ELEVATOR,3,3,100,88.94601542,11.05398458
146,10004,H,ELEVATOR,27,42,64.28571429,88.94601542,-24.66030114
147,10004,K,ELEVATOR,12,65,18.46153846,88.94601542,-70.48447696
148,10004,O,ELEVATOR,1016,1108,91.6967509,88.94601542,2.750735478
149,10004,R,ELEVATOR,544,568,95.77464789,88.94601542,6.828632463
150,10004,Y,ELEVATOR,95,110,86.36363636,88.94601542,-2.582379061
151,10004,D,FAIL TO BENCHMARK,4,40,10,2.36503856,7.63496144
152,10004,O,FAIL TO BENCHMARK,41,1108,3.700361011,2.36503856,1.33532245
153,10004,R,FAIL TO BENCHMARK,1,568,0.176056338,2.36503856,-2.188982222
154,10004,D,LANDMARK,3,40,7.5,1.696658098,5.803341902
155,10004,K,LANDMARK,12,65,18.46153846,1.696658098,16.76488036
156,10004,R,LANDMARK,18,568,3.169014085,1.696658098,1.472355987
157,10004,H,BOILER,12,42,28.57142857,3.958868895,24.61255968
158,10004,K,BOILER,38,65,58.46153846,3.958868895,54.50266957
159,10004,P,BOILER,9,9,100,3.958868895,96.04113111
160,10004,R,BOILER,3,568,0.528169014,3.958868895,-3.430699881
161,10004,Y,BOILER,15,110,13.63636364,3.958868895,9.677494742
162,10004,H,FACADE,3,42,7.142857143,1.439588689,5.703268454
163,10004,O,FACADE,25,1108,2.25631769,1.439588689,0.816729001
164,10004,K,FAIL TO CERTIFY,3,65,4.615384615,0.87403599,3.741348626
165,10004,O,FAIL TO CERTIFY,12,1108,1.083032491,0.87403599,0.208996501
166,10004,R,FAIL TO CERTIFY,2,568,0.352112676,0.87403599,-0.521923314
167,10004,O,CONSTRUCTION,11,1108,0.992779783,0.565552699,0.427227084
168,10004,O,PLUMBING,3,1108,0.270758123,0.154241645,0.116516477
169,10005,D,ELEVATOR,47,57,82.45614035,95.21770164,-12.76156129
170,10005,H,ELEVATOR,72,75,96,95.21770164,0.782298358
171,10005,O,ELEVATOR,1011,1047,96.56160458,95.21770164,1.343902943
172,10005,R,ELEVATOR,204,211,96.68246446,95.21770164,1.464762813
173,10005,D,BOILER,3,57,5.263157895,1.427551749,3.835606146
174,10005,O,BOILER,9,1047,0.859598854,1.427551749,-0.567952895
175,10005,R,BOILER,6,211,2.843601896,1.427551749,1.416050147
176,10005,T,BOILER,2,2,100,1.427551749,98.57244825
177,10005,D,FAIL TO BENCHMARK,3,57,5.263157895,0.214132762,5.049025132
178,10005,D,CONSTRUCTION,3,57,5.263157895,0.499643112,4.763514783
179,10005,O,CONSTRUCTION,3,1047,0.286532951,0.499643112,-0.213110161
180,10005,R,CONSTRUCTION,1,211,0.473933649,0.499643112,-0.025709463
181,10005,D,FAIL TO CERTIFY,1,57,1.754385965,1.213418986,0.540966978
182,10005,O,FAIL TO CERTIFY,7,1047,0.668576886,1.213418986,-0.5448421
183,10005,S,FAIL TO CERTIFY,9,9,100,1.213418986,98.78658101
184,10005,H,FACADE,3,75,4,1.142041399,2.857958601
185,10005,O,FACADE,13,1047,1.241642789,1.142041399,0.09960139
186,10005,O,PLUMBING,4,1047,0.382043935,0.28551035,0.096533585
187,10006,C,CONSTRUCTION,3,3,100,2.152641879,97.84735812
188,10006,D,CONSTRUCTION,2,46,4.347826087,2.152641879,2.195184208
189,10006,R,CONSTRUCTION,6,171,3.50877193,2.152641879,1.356130051
190,10006,D,ELEVATOR,20,46,43.47826087,75.73385519,-32.25559432
191,10006,H,ELEVATOR,8,13,61.53846154,75.73385519,-14.19539365
192,10006,K,ELEVATOR,8,42,19.04761905,75.73385519,-56.68623614
193,10006,O,ELEVATOR,206,236,87.28813559,75.73385519,11.55428041
194,10006,R,ELEVATOR,145,171,84.79532164,75.73385519,9.061466452
195,10006,D,FAIL TO CERTIFY,15,46,32.60869565,6.066536204,26.54215945
196,10006,H,FAIL TO CERTIFY,4,13,30.76923077,6.066536204,24.70269457
197,10006,O,FAIL TO CERTIFY,12,236,5.084745763,6.066536204,-0.981790441
198,10006,D,BOILER,9,46,19.56521739,10.56751468,8.997702714
199,10006,K,BOILER,28,42,66.66666667,10.56751468,56.09915199
